groupId,artifactId,version
org.onap.appc.client,client-simulator,1.4.4
org.onap.appc.client,code-generator,1.4.4
org.onap.appc.plugins,dg-loader-provider,1.4.4
org.onap.ccsdk.apps,ccsdk-apps-ms-neng,0.3.3
org.onap.ccsdk.apps,controllerblueprints,0.3.3
org.onap.ccsdk.features,blueprints-assignment-provider,0.3.3
org.onap.ccsdk.features,blueprints-data-adaptor-provider,0.3.3
org.onap.ccsdk.features,blueprints-generator-provider,0.3.3
org.onap.ccsdk.features,blueprints-model-provider,0.3.3
org.onap.ccsdk.features,blueprints-processor-adaptor,0.3.3
org.onap.ccsdk.features,blueprints-processor-plugin,0.3.3
org.onap.ccsdk.features,blueprints-rest-adaptor-processor,0.3.3
org.onap.ccsdk.parent,binding-parent,1.1.3
org.onap.ccsdk.parent,bundle-parent,1.1.3
org.onap.ccsdk.parent,feature-repo-parent,1.1.3
org.onap.ccsdk.parent,karaf4-parent,1.1.3
org.onap.ccsdk.parent,mdsal-it-parent,1.1.3
org.onap.ccsdk.parent,odlparent,1.1.3
org.onap.ccsdk.parent,odlparent-lite,1.1.3
org.onap.ccsdk.parent,single-feature-parent,1.1.3
org.onap.ccsdk.sli.adaptors,aai-service-provider,0.3.3
org.onap.ccsdk.sli.adaptors,mdsal-resource-provider,0.3.3
org.onap.ccsdk.sli.adaptors,resource-assignment-provider,0.3.3
org.onap.ccsdk.sli.adaptors,sql-resource-provider,0.3.3
org.onap.ccsdk.sli.core,dblib-provider,0.3.3
org.onap.ccsdk.sli.core,filters-provider,0.3.3
org.onap.ccsdk.sli.core,sli-common,0.3.3
org.onap.ccsdk.sli.core,sli-provider,0.3.3
org.onap.ccsdk.sli.core,sli-recording,0.3.3
org.onap.ccsdk.sli.core,sliPluginUtils-provider,0.3.3
org.onap.ccsdk.sli.core,sliapi-provider,0.3.3
org.onap.ccsdk.sli.core,utils-provider,0.3.3
org.onap.ccsdk.sli.northbound,asdcApi-provider,0.3.3
org.onap.ccsdk.sli.northbound,dataChange-provider,0.3.3
org.onap.ccsdk.sli.northbound,dmaap-listener,0.3.3
org.onap.ccsdk.sli.northbound,lcm-provider,0.3.3
org.onap.ccsdk.sli.northbound,ueb-listener,0.3.3
org.onap.ccsdk.sli.plugins,fabric-discovery-plugin-provider,0.3.3
org.onap.ccsdk.sli.plugins,properties-node-provider,0.3.3
org.onap.ccsdk.sli.plugins,restapi-call-node-provider,0.3.3
org.onap.ccsdk.storage.pgaas,pgaas,1.0.0
org.onap.ccsdk.utils,utils,1.0.0
org.onap.clamp.clds.clamp,clamp,3.0.3
org.onap.cli,cli-framework,2.0.4
org.onap.cli,cli-main,2.0.4
org.onap.cli,cli-plugins-sample,2.0.4
org.onap.cli,cli-profiles-command,2.0.4
org.onap.cli,cli-profiles-http,2.0.4
org.onap.cli,cli-profiles-snmp,2.0.4
org.onap.cli,cli-sample-mock-generator,2.0.4
org.onap.cli,cli-sample-yaml-generator,2.0.4
org.onap.cli,cli-validation,2.0.4
org.onap.cli,cli-zip,2.0.4
org.onap.dcaegen2,dcaegen2,1.1.0
org.onap.dcaegen2.analytics.tca,dcae-analytics,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-aai,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-cdap-common,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-cdap-plugins,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-cdap-tca,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-common,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-dmaap,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-it,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-model,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-tca,2.2.0
org.onap.dcaegen2.analytics.tca,dcae-analytics-test,2.2.0
org.onap.dcaegen2.collectors,datafile,1.0.5
org.onap.dcaegen2.collectors.datafile,datafile-app-server,1.0.5
org.onap.dcaegen2.collectors.datafile,datafile-commons,1.0.5
org.onap.dcaegen2.collectors.datafile,datafile-dmaap-client,1.0.5
org.onap.dcaegen2.collectors.hv-ves,hv-collector-domain,1.0.2
org.onap.dcaegen2.collectors.hv-ves,hv-collector-health-check,1.0.2
org.onap.dcaegen2.collectors.hv-ves,hv-collector-main,1.0.2
org.onap.dcaegen2.collectors.hv-ves,hv-collector-utils,1.0.2
org.onap.dcaegen2.collectors.hv-ves,ves-hv-collector,1.0.2
org.onap.dcaegen2.collectors.ves,VESCollector,1.3.2
org.onap.dcaegen2.platform,inventory-api,1.0.0
org.onap.dcaegen2.platform,servicechange-handler,1.0.0
org.onap.dcaegen2.services,prh,1.1.1
org.onap.dcaegen2.services.prh,prh-aai-client,1.1.1
org.onap.dcaegen2.services.prh,prh-app-server,1.1.1
org.onap.dcaegen2.services.prh,prh-commons,1.1.1
org.onap.dcaegen2.services.prh,prh-dmaap-client,1.1.1
org.onap.dmaap.datarouter.datarouter-node,1.0.3
org.onap.dmaap.datarouter.datarouter-prov,1.0.3
org.onap.dmaap.messagerouter.dmaapclient,dmaapClient,1.0.0
org.onap.dmaap.messagerouter.messageservice,dmaapMR1,1.0.1
org.onap.dmaap.messagerouter.mirroragent,dmaapMMAgent,1.0.0
org.onap.dmaap.messagerouter.msgrtr,msgrtr,1.0.0
org.onap.externalapi-nbi,nbi-rest-services,3.0.2
org.onap.holmes.common,holmes-actions,1.2.1
org.onap.holmes.dsa,dmaap-dsa,1.2.1
org.onap.holmes.engine-management,holmes-engine-d,1.2.0
org.onap.holmes.rule-management,holmes-rulemgt,1.2.0
org.onap.logging-analytics.logging-library,logging-library,1.2.2
org.onap.logging-analytics.logging-mock-service,logging-mock-service,1.2.2
org.onap.logging-analytics.logging-slf4j,logging-slf4j,1.2.2
org.onap.logging-analytics.pomba.pomba-audit-common,pomba-audit-common,1.3.1
org.onap.modeling.toscaparsers,Checker,1.0.0
org.onap.modeling.toscaparsers,Service,1.0.0
org.onap.modeling.toscaparsers,kwalify,1.0.0
org.onap.modeling.toscaparsers.nfvparser,modeling-toscaparsers-nfvparser,1.0.0
org.onap.msb.java-sdk,msb-java-sdk,1.1.1
org.onap.msb.swagger-sdk,swagger-sdk,1.1.0
org.onap.multicloud.azure,multicloud-azure,1.2.1
org.onap.multicloud.framework,multivimbroker,1.2.1
org.onap.multicloud.openstack,ocata,1.2.4
org.onap.multicloud.openstack,pike,1.2.4
org.onap.multicloud.openstack,windriver,1.2.4
org.onap.multicloud.openstack.vmware,vesagent,1.0.0
org.onap.multicloud.openstack.vmware,vio,1.2.1
org.onap.music,MUSIC,3.0.23
org.onap.oparent,oparent,1.2.2
org.onap.policy.apex-pdp,apex-pdp,2.0.4
org.onap.policy.common,common-modules,1.3.4
org.onap.policy.distribution,distribution,2.0.4
org.onap.policy.drools-applications,drools-pdp-apps,1.3.5
org.onap.policy.drools-pdp,drools-pdp,1.3.5
org.onap.policy.engine,PolicyEngineSuite,1.3.5
org.onap.policy.parent,parent,2.0.1
org.onap.portal.sdk,epsdk-analytics,2.4.0
org.onap.portal.sdk,epsdk-app-common,2.4.0
org.onap.portal.sdk,epsdk-app-overlay,2.4.0
org.onap.portal.sdk,epsdk-core,2.4.0
org.onap.portal.sdk,epsdk-fw,2.4.0
org.onap.portal.sdk,epsdk-workflow,2.4.0
